Identificador,Administracion,Estrato,Antiguedad,Remodelado,Area,habitaciones,Banos,Garajes,Elevadores,Inmueble,Parqueadero,Precio
225,58000,2,14,No,44,2,1,0,0,Apartamento,No,123290000
120,90000,2,10,No,42,2,1,0,0,Apartamento,Si,119665000
401,55000,2,3,Si,47,3,1,0,0,Apartamento,Si,127800000
404,85000,2,8,No,39,2,1,0,0,Apartamento,Si,140000000
304,180000,3,32,No,59,3,2,1,0,Apartamento,No,250000000
104,100000,2,24,No,55,3,2,0,0,Apartamento,Si,164510000
294,139000,2,10,Si,45,3,2,0,1,Apartamento,Si,186000000
168,114000,3,10,No,55,3,2,0,1,Apartamento,Si,170000000
237,267000,4,25,No,93,3,1,1,0,Apartamento,No,430670000
207,75000,1,5,No,44,2,1,0,1,Apartamento,No,117000000
279,95700,3,7,Si,45,3,1,0,1,Apartamento,Si,154000000
63,648000,6,11,Si,65,2,2,1,1,Apartamento,Si,472000000
460,80000,2,14,No,50,3,2,0,0,Apartamento,Si,141000000
103,150000,3,7,Si,38,2,1,0,2,Apartamento,Si,176500000
221,495000,4,7,Si,83,2,2,2,1,Apartamento,Si,570000000
45,67000,2,13,Si,42,2,1,0,0,Apartamento,Si,116200000
123,125400,3,15,Si,49,3,1,0,0,Apartamento,Si,193000000
86,128200,3,11,Si,48,3,1,0,0,Apartamento,Si,166600000
397,55000,2,19,Si,47,2,1,0,0,Apartamento,Si,115000000
47,80000,2,31,Si,44,2,1,0,0,Apartamento,Si,99200000
259,345000,4,6,No,74,3,2,1,1,Apartamento,Si,405000000
198,65000,2,12,No,48,3,2,0,0,Apartamento,Si,136500000
106,117000,3,1,Si,42,2,1,0,1,Apartamento,Si,195350000
293,570000,4,12,Si,62,2,2,1,1,Apartamento,Si,400000000
19,477000,5,36,Si,72,3,2,1,1,Apartamento,Si,395700000
144,50000,1,6,No,49,3,1,0,0,Apartamento,Si,103000000
183,138600,3,8,No,55,3,2,0,1,Apartamento,No,198600000
321,85000,2,21,No,47,3,1,0,0,Apartamento,Si,145500000
147,240000,3,5,Si,55,2,2,1,2,Apartamento,Si,258500000
226,200000,4,1,Si,39,1,1,0,2,Apartamento,Si,253000000
342,260000,4,21,No,61,3,2,1,0,Apartamento,Si,269000000
197,414000,4,24,No,82,3,2,2,0,Apartamento,Si,415000000
269,140000,3,31,Si,65,3,2,0,0,Apartamento,Si,263150000
31,175000,3,16,Si,70,3,2,0,1,Apartamento,Si,249400000
